epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,41479.8,0.70568,0.826,1.2275,0.62913,0.60803,0.63506,0.50186,0.47367,0.60331,0.59446,0.00437896,0.00437896,0.00437896
56,42195.5,0.65774,0.75883,1.17701,0.60235,0.64741,0.63446,0.50634,0.43179,0.58885,0.55888,0.00422361,0.00422361,0.00422361
57,42909.9,0.70548,0.82062,1.22703,0.60052,0.60594,0.62296,0.49313,0.49224,0.65108,0.63162,0.00406903,0.00406903,0.00406903
58,43632.2,0.72281,0.8203,1.20938,0.66632,0.6089,0.6553,0.50839,0.44211,0.55892,0.58558,0.00391537,0.00391537,0.00391537
59,44354.7,0.66708,0.79816,1.19213,0.58148,0.63578,0.65411,0.49557,0.47049,0.58203,0.58553,0.00376279,0.00376279,0.00376279
60,45082.8,0.66199,0.76653,1.18443,0.59283,0.64204,0.64616,0.49227,0.4959,0.5826,0.63404,0.00361144,0.00361144,0.00361144
61,45807,0.64739,0.75453,1.19474,0.59941,0.69392,0.62817,0.50019,0.45766,0.58542,0.60151,0.00346146,0.00346146,0.00346146
62,46563.6,0.66863,0.77298,1.18622,0.62453,0.59275,0.64671,0.49926,0.46243,0.53664,0.59283,0.003313,0.003313,0.003313
63,47312.4,0.64058,0.73146,1.17715,0.66452,0.53826,0.62036,0.49438,0.47777,0.57246,0.5887,0.00316622,0.00316622,0.00316622
64,48025,0.64571,0.73389,1.19798,0.84914,0.498,0.62387,0.48971,0.47699,0.5339,0.58197,0.00302125,0.00302125,0.00302125
65,48734.2,0.65017,0.7664,1.17868,0.62835,0.60178,0.64161,0.49593,0.44292,0.54482,0.57691,0.00287823,0.00287823,0.00287823
66,49441.9,0.63783,0.75077,1.17734,0.69855,0.65458,0.68544,0.51518,0.42173,0.51294,0.54602,0.00273732,0.00273732,0.00273732
67,50147.3,0.61446,0.70857,1.16374,0.58026,0.6009,0.63246,0.5011,0.45481,0.52553,0.57091,0.00259864,0.00259864,0.00259864
68,50859.4,0.61433,0.70729,1.16269,0.67074,0.67124,0.6703,0.50486,0.44808,0.56545,0.57708,0.00246234,0.00246234,0.00246234
69,51567.4,0.58432,0.69076,1.14752,0.78204,0.54989,0.67901,0.51521,0.43774,0.5379,0.5711,0.00232855,0.00232855,0.00232855
